,String,Word Count,Good,Bad,Percent Indication
164,it,80258,57572,22686,71.73365894988662
165,login,20976,90,20886,99.57093821510297
166,com,384768,295072,89696,76.68829008649368
167,en,132148,97453,34695,73.74534612706965
168,cgi-bin,4139,1173,2966,71.65982121285334
169,verification,772,4,768,99.48186528497409
170,index,30758,14257,16501,53.647831458482344
171,php?cmd,2499,4,2495,99.83993597438976
172,p,340400,230722,109678,67.77967097532314
173,gen,10507,8807,1700,83.82031026934425
174,0,152196,105131,47065,69.07605981760362
175,5,105515,62438,43077,59.174524949059375
176,www,55228,31499,23729,57.03447526616934
177,paypal,9371,1,9370,99.98932878027959
178,co,411440,310042,101398,75.35533735174023
179,uk,14620,9109,5511,62.30506155950752
180,cycgi-bin,100,0,100,100.0
181,webscrcmd,402,0,402,100.0
182,1,165867,113581,52286,68.47715338192648
183,loading,176,8,168,95.45454545454545
184,php,53785,16976,36809,68.43729664404574
185,cgi,8687,2751,5936,68.33199033037873
186,bin,8828,2736,6092,69.00770276393294
187,herf,127,52,75,59.05511811023622
188,secure,5332,115,5217,97.84321080270068
189,center,1987,1338,649,67.3376950176145
190,update,4674,274,4400,94.13778348309799
191,limit,726,278,448,61.70798898071625
192,mail,6793,942,5851,86.13278374797585
193,online,6149,3179,2970,51.6994633273703
194,html,89139,72936,16203,81.82277117759904
195,wp-content,6110,6,6104,99.90180032733224
196,themes,2229,57,2172,97.442799461642
197,includes,5047,16,5031,99.68297998811175
198,temp,2410,839,1571,65.18672199170125
199,org,54319,47288,7031,87.05609455255068
200,v1,736,187,549,74.59239130434783
201,js,9165,1685,7480,81.61483906164757
202,do,35850,20195,15655,56.331938633193865
203,l,411510,296762,114748,72.11537994216422
204,popular,163,115,48,70.5521472392638
205,info,14343,6777,7566,52.7504706128425
206,docs,2455,1106,1349,54.94908350305499
207,_id,2285,2022,263,88.49015317286653
208,fr,22256,15388,6868,69.14090582314881
209,webscr,6575,3,6572,99.95437262357414
210,cmd,7721,135,7586,98.25152182359798
211,_login-run&amp;dispatch,522,0,522,100.0
212,ua,12208,7995,4213,65.48984272608126
213,libraries,763,58,705,92.39842726081258
214,joomla,275,15,260,94.54545454545455
215,results,737,720,17,97.69335142469471
216,google,4293,1089,3204,74.63312368972746
217,spreadsheet,265,3,262,98.86792452830188
218,viewform?formkey,203,1,202,99.50738916256158
219,br,28497,19546,8951,68.5896761062568
220,default,1445,899,546,62.21453287197232
221,aspx,11657,10010,1647,85.87115038174487
222,nl,15602,8566,7036,54.903217536213305
223,language,1287,583,704,54.7008547008547
224,net,39190,21673,17517,55.302373054350596
225,twentyten,130,0,130,100.0
226,old_aol,122,0,122,100.0
227,3,122961,72417,50544,58.894283553321785
228,remax,997,69,928,93.07923771313942
229,htm,124011,98296,25715,79.26393626371853
230,exch,239,153,86,64.01673640167364
231,owa,1604,1147,457,71.50872817955113
232,site,6558,2801,3757,57.28880756328149
233,plugins,2861,33,2828,98.8465571478504
234,chase,371,147,224,60.37735849056604
235,file,8022,4514,3508,56.270256793817005
236,2012,1255,442,813,64.78087649402391
237,itau,194,3,191,98.45360824742268
238,home,8637,5598,3039,64.81417158735673
239,Email,222,19,203,91.44144144144144
240,rex,458,250,208,54.585152838427945
241,security,1857,317,1540,82.92945611200861
242,cache,921,71,850,92.29098805646036
243,bb,8531,3784,4747,55.6441214394561
244,eu,9910,6232,3678,62.88597376387487
245,submit,2244,63,2181,97.19251336898395
246,dispatch,5548,44,5504,99.20692141312185
247,ssl,2160,235,1925,89.12037037037037
248,_login-run&dispatch,831,0,831,100.0
249,components,1133,55,1078,95.14563106796116
250,lg,5207,3125,2082,60.01536393316689
251,templates,1193,176,1017,85.24727577535624
252,a,482889,349662,133227,72.41042972608612
253,edu,13208,12222,986,92.53482737734706
254,pe,62998,53340,9658,84.66935458268516
255,tk,2614,769,1845,70.58148431522571
256,microsoft,699,535,164,76.5379113018598
257,new,20747,16684,4063,80.41644575119294
258,id,52810,39123,13687,74.08256012118918
259,us,60366,40661,19705,67.35745287082132
260,Review,550,538,12,97.81818181818181
261,tinyurl,155,0,155,100.0
262,tad,1224,769,455,62.826797385620914
263,ly,20607,17486,3121,84.85466103751152
264,upgrade,427,35,392,91.80327868852459
265,logins,330,1,329,99.6969696969697
266,Trulia,140,0,140,100.0
267,tmp,888,42,846,95.27027027027027
268,sp,63812,49068,14744,76.89462796966087
269,asp,18707,16076,2631,85.9357459774416
270,conta,1167,586,581,50.21422450728363
271,modules,1334,117,1217,91.22938530734632
272,spam,173,122,51,70.52023121387283
273,de,108289,66738,41551,61.62952839161873
274,system,2226,573,1653,74.25876010781671
275,Cielo,105,0,105,100.0
276,images,7789,527,7262,93.23404801643343
277,russel,210,198,12,94.28571428571429
278,sk,12267,9134,3133,74.45993315399038
279,cadastro,415,0,415,100.0
280,vb,1669,421,1248,74.77531455961653
281,cielo,400,8,392,98.0
282,ar,130552,104834,25718,80.30056988786077
283,survey,171,95,76,55.55555555555556
284,in,195172,121287,73885,62.14364765437665
285,jsp,1552,1128,424,72.68041237113403
286,ru,30836,15530,15306,50.36321183032819
287,stories,831,543,288,65.34296028880867
288,style,998,578,420,57.91583166332666
289,s,436982,316497,120485,72.42792609306562
290,dd,8722,4552,4170,52.18986470992891
291,pl,45277,30553,14724,67.48017757360249
292,smilies,173,3,170,98.26589595375722
293,gratis,116,36,80,68.9655172413793
294,t,448331,324720,123611,72.42862974008044
295,m,486405,357967,128438,73.59443262301991
296,red,9607,5105,4502,53.13833662954096
297,lov,2257,1667,590,73.85910500664599
298,draft,642,564,78,87.85046728971963
299,account,3828,202,3626,94.72309299895507
300,blog,15567,12966,2601,83.2915783387936
301,uploads,1067,21,1046,98.03186504217432
302,07,14673,10470,4203,71.35555101206297
303,24,15041,7778,7263,51.711987234891296
304,review,4248,3903,345,91.87853107344633
305,pub,7664,6980,684,91.07515657620041
306,_login-run,2085,0,2085,100.0
307,shop,2951,1972,979,66.82480515079634
308,ebay,1711,1227,484,71.7124488603156
309,content,9436,2794,6642,70.38999576091564
310,backup,197,51,146,74.11167512690355
311,wp-includes,3712,0,3712,100.0
312,crystal,162,78,84,51.851851851851855
313,es,155298,109706,45592,70.64224909528777
314,2,160360,107608,52752,67.10401596408082
315,html?cmd,460,2,458,99.56521739130434
316,DK,284,61,223,78.52112676056338
317,esp,3955,3239,716,81.89633375474084
318,130,1295,913,382,70.5019305019305
319,shell,259,197,62,76.06177606177606
320,act,10761,8028,2733,74.6027320880959
321,assets,247,31,216,87.4493927125506
322,wp,15530,1911,13619,87.69478428847393
323,'www,1088,227,861,79.13602941176471
324,mx,3970,272,3698,93.1486146095718
325,1&email,169,0,169,100.0
326,&userid,144,0,144,100.0
327,catalog,901,696,205,77.24750277469478
328,banners,225,8,217,96.44444444444444
329,perso,2425,1926,499,79.42268041237114
330,fb,5029,978,4051,80.55279379598329
331,facebook,8643,8371,272,96.85294457942844
332,preview,921,850,71,92.29098805646036
333,ve,53879,40291,13588,74.780526735834
334,css,2258,179,2079,92.0726306465899
335,html?u,144,14,130,90.27777777777777
336,au,31087,20663,10424,66.46829864573616
337,service,3532,1258,2274,64.3827859569649
338,irs,2032,1738,294,85.53149606299213
339,updates,291,83,208,71.47766323024055
340,internet,499,318,181,63.72745490981964
341,_login-,2642,0,2642,100.0
342,udc,110,53,57,51.81818181818182
343,an,145083,116742,28341,80.46566448171048
344,tinymce,282,0,282,100.0
345,advanced,144,66,78,54.166666666666664
346,img,1847,91,1756,95.07309149972929
347,link,7329,6497,832,88.64783735843908
348,login-submit,840,0,840,100.0
349,comcast,444,135,309,69.5945945945946
350,q,39391,20642,18749,52.40283313447234
351,&siteid,104,5,99,95.1923076923077
352,&ru,137,8,129,94.16058394160584
353,&pp,104,24,80,76.92307692307692
354,soc,4011,3463,548,86.33757167788582
355,member,2110,1800,310,85.30805687203791
356,wp-admin,2349,1,2348,99.95742869306088
357,maint,283,61,222,78.4452296819788
358,nba,1640,1311,329,79.9390243902439
359,signin,683,51,632,92.53294289897511
360,bd,5934,1625,4309,72.6154364678126
361,Information,279,236,43,84.58781362007169
362,confirm,1611,49,1562,96.95841092489137
363,5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f,278,0,278,100.0
364,dir,10528,7031,3497,66.78381458966565
365,pp,18401,7654,10747,58.404434541601
366,test,1977,1014,963,51.289833080424884
367,ssi,7969,4963,3006,62.278830468063745
368,cl,33777,22228,11549,65.80809426532848
369,battle,5602,264,5338,95.2873973580864
370,html?app,417,0,417,100.0
371,wam&amp;ref,158,0,158,100.0
372,worldofwarcraft,160,0,160,100.0
373,&amp;eor,204,0,204,100.0
374,0&amp;app,143,0,143,100.0
375,bam,1089,323,766,70.33976124885216
376,tn,5031,3152,1879,62.65156032597893
377,languages,344,73,271,78.77906976744185
378,media,4203,2427,1776,57.74446823697359
379,Processing,493,17,476,96.55172413793103
380,_Processing&dispatch,175,0,175,100.0
381,scur,146,82,64,56.16438356164384
382,include,5208,33,5175,99.36635944700461
383,custom,721,243,478,66.29680998613037
384,verified,268,118,150,55.97014925373134
385,Full,132,113,19,85.60606060606061
386,a7a,121,14,107,88.4297520661157
387,@,2049,240,1809,88.28696925329429
388,password,143,23,120,83.91608391608392
389,PayPal,424,0,424,100.0
390,htm?cmd,519,0,519,100.0
391,up,24815,10409,14406,58.053596614950635
392,pomo,464,18,446,96.12068965517241
393,information,1679,377,1302,77.5461584276355
394,redirect,2176,126,2050,94.2095588235294
395,order,746,395,351,52.94906166219839
396,icons,185,40,145,78.37837837837839
397,System,138,125,13,90.57971014492753
398,hk,1352,381,971,71.81952662721893
399,_login-submit&amp;dispatch,143,0,143,100.0
400,form,6582,2555,4027,61.18201154664236
401,php?id,2063,1121,942,54.338342220067865
402,wbsccr,149,0,149,100.0
403,_Processing&amp;dispatch,155,0,155,100.0
404,n,436242,313251,122991,71.80670361863369
405,twentyeleven,122,0,122,100.0
406,ro,85322,61760,23562,72.3846135814913
407,helen,100,85,15,85.0
408,via,1648,1383,265,83.91990291262135
409,paypal-com,143,0,143,100.0
410,uni,8004,6801,1203,84.97001499250375
411,me,85398,62834,22564,73.57783554649991
412,profile,2870,2636,234,91.84668989547038
413,editor,521,132,389,74.6641074856046
414,msn,817,674,143,82.4969400244798
415,mobil,1396,580,816,58.45272206303725
416,5885d80a13c0db1,3318,0,3318,100.0
417,xchange,246,183,63,74.39024390243902
418,6,102922,59954,42968,58.25188006451488
419,5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcd8,146,0,146,100.0
420,www2,324,162,162,50.0
421,_login-submit,361,0,361,100.0
422,asp?ref,199,9,190,95.47738693467336
423,management,769,303,466,60.59817945383615
424,xml&amp;app,105,0,105,100.0
425,wow,554,175,379,68.4115523465704
426,e,503360,367706,135654,73.05030197075652
427,sec,9407,2236,7171,76.23046667375358
428,ibank,120,46,74,61.666666666666664
429,ib,14879,10215,4664,68.65380737952819
430,nab,821,402,419,51.03532277710109
431,ms,18988,14460,4528,76.15336001685274
432,BB,638,259,379,59.40438871473354
433,visa,496,71,425,85.68548387096774
434,beez,201,11,190,94.5273631840796
435,a1,8629,692,7937,91.98053076833932
436,hu,10822,7405,3417,68.42542968028091
437,error_login,122,0,122,100.0
438,portal,930,411,519,55.806451612903224
439,e5,3719,373,3346,89.97042215649368
440,np,5020,3150,1870,62.74900398406375
441,Paypal_Virefication,370,0,370,100.0
442,5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,617,0,617,100.0
443,jan,1149,860,289,74.84769364664926
444,forms,458,122,336,73.36244541484716
445,install,428,86,342,79.90654205607477
446,xmlrpc,131,3,128,97.70992366412214
447,ws,24435,20139,4296,82.41866175567833
448,flow,748,311,437,58.42245989304813
449,session,1417,236,1181,83.34509527170079
450,lohzumu98pjkwkwudgtj3ie6btlub,104,0,104,100.0
451,auto,2024,1091,933,53.90316205533597
452,property,654,471,183,72.01834862385321
453,properties,389,126,263,67.60925449871465
454,investment,281,143,138,50.88967971530249
455,loopnet,121,100,21,82.64462809917356
456,htm',234,44,190,81.19658119658119
457,news,13961,12678,1283,90.81011388868993
458,bit,3944,3105,839,78.72718052738337
459,Remax,291,1,290,99.65635738831615
460,public,2603,2305,298,88.5516711486746
461,?www,107,0,107,100.0
462,personal,596,312,284,52.348993288590606
463,your-account,112,0,112,100.0
464,nav,2044,1054,990,51.56555772994129
465,You,616,537,79,87.17532467532467
466,L,32143,21199,10944,65.9521513237719
467,overview,289,284,5,98.26989619377163
